,open,high,low,close,tick_volume
2026-03-31 03:13:00,4573.24,4573.413,4571.936,4572.625,194.0
2026-03-31 03:14:00,4572.554,4572.719,4568.683,4570.097,325.0
2026-03-31 03:15:00,4569.792,4571.316,4567.869,4568.676,291.0
2026-03-31 03:16:00,4568.619,4568.975,4564.735,4567.47,398.0
2026-03-31 03:17:00,4567.478,4568.373,4565.765,4567.786,278.0
2026-03-31 03:18:00,4567.853,4567.853,4564.384,4565.58,320.0
2026-03-31 03:19:00,4565.534,4566.728,4563.764,4563.844,260.0
2026-03-31 03:20:00,4563.8,4566.848,4562.199,4566.369,343.0
2026-03-31 03:21:00,4566.427,4567.161,4563.107,4564.526,296.0
2026-03-31 03:22:00,4564.464,4565.18,4562.007,4563.144,293.0
2026-03-31 03:23:00,4563.083,4564.853,4561.732,4561.949,314.0
2026-03-31 03:24:00,4562.109,4564.096,4555.687,4557.605,473.0
2026-03-31 03:25:00,4557.542,4559.968,4557.058,4558.49,336.0
2026-03-31 03:26:00,4558.428,4563.765,4557.559,4562.638,288.0
2026-03-31 03:27:00,4562.818,4564.141,4560.46,4561.113,288.0
2026-03-31 03:28:00,4560.963,4561.443,4558.464,4561.443,277.0
2026-03-31 03:29:00,4561.448,4562.88,4561.21,4561.593,222.0
2026-03-31 03:30:00,4561.689,4563.29,4561.054,4561.288,201.0
2026-03-31 03:31:00,4561.016,4562.193,4560.59,4561.791,149.0
2026-03-31 03:32:00,4561.756,4561.914,4560.661,4561.142,132.0
2026-03-31 03:33:00,4560.805,4562.716,4560.636,4562.429,161.0
2026-03-31 03:34:00,4562.605,4565.93,4562.247,4565.01,240.0
2026-03-31 03:35:00,4564.992,4565.594,4561.871,4562.272,259.0
2026-03-31 03:36:00,4562.328,4562.328,4559.111,4559.628,195.0
2026-03-31 03:37:00,4559.669,4563.912,4559.483,4561.764,238.0
2026-03-31 03:38:00,4561.864,4562.526,4560.29,4561.086,167.0
2026-03-31 03:39:00,4560.864,4562.481,4556.568,4557.672,238.0
2026-03-31 03:40:00,4557.588,4558.055,4554.963,4555.487,266.0
2026-03-31 03:41:00,4555.553,4556.021,4555.036,4555.49,150.0
2026-03-31 03:42:00,4555.524,4557.666,4552.614,4557.666,262.0
2026-03-31 03:43:00,4557.63,4559.2,4555.991,4555.991,226.0
2026-03-31 03:44:00,4556.168,4556.44,4550.556,4552.333,268.0
2026-03-31 03:45:00,4552.251,4553.764,4550.967,4551.461,275.0
2026-03-31 03:46:00,4551.524,4552.076,4550.376,4550.965,201.0
2026-03-31 03:47:00,4551.036,4551.661,4550.304,4550.897,180.0
2026-03-31 03:48:00,4550.928,4553.773,4550.654,4553.087,259.0
2026-03-31 03:49:00,4553.392,4553.696,4551.445,4552.796,182.0
2026-03-31 03:50:00,4552.768,4556.624,4552.768,4555.125,278.0
2026-03-31 03:51:00,4555.069,4555.515,4551.667,4552.049,226.0
2026-03-31 03:52:00,4552.259,4556.29,4551.843,4555.842,226.0
2026-03-31 03:53:00,4555.898,4556.931,4553.385,4556.931,217.0
2026-03-31 03:54:00,4557.195,4557.541,4554.713,4555.239,152.0
2026-03-31 03:55:00,4555.1,4556.062,4553.426,4554.102,148.0
2026-03-31 03:56:00,4553.949,4556.079,4553.791,4555.895,140.0
2026-03-31 03:57:00,4556.014,4556.219,4554.779,4555.738,121.0
2026-03-31 03:58:00,4555.561,4556.372,4555.418,4556.286,111.0
2026-03-31 03:59:00,4556.259,4557.255,4555.801,4556.941,101.0
2026-03-31 04:00:00,4556.946,4559.239,4556.946,4558.302,141.0
2026-03-31 04:01:00,4558.135,4558.698,4557.211,4557.211,111.0
2026-03-31 04:02:00,4557.273,4559.377,4556.997,4559.179,134.0
2026-03-31 04:03:00,4559.221,4560.896,4558.69,4559.93,137.0
2026-03-31 04:04:00,4559.855,4560.399,4559.674,4559.729,95.0
2026-03-31 04:05:00,4559.787,4560.941,4559.061,4560.735,133.0
2026-03-31 04:06:00,4560.797,4565.981,4559.095,4559.095,371.0
2026-03-31 04:07:00,4559.19,4561.681,4557.339,4561.681,285.0
2026-03-31 04:08:00,4561.799,4563.225,4560.752,4561.429,265.0
2026-03-31 04:09:00,4561.446,4562.198,4559.045,4559.961,153.0
2026-03-31 04:10:00,4559.851,4560.744,4558.803,4560.566,170.0
2026-03-31 04:11:00,4560.57,4561.579,4558.798,4559.832,176.0
2026-03-31 04:12:00,4559.756,4563.28,4559.756,4561.703,198.0
2026-03-31 04:13:00,4561.802,4561.802,4558.619,4558.682,137.0
2026-03-31 04:14:00,4558.501,4559.351,4557.26,4557.616,118.0
2026-03-31 04:15:00,4557.401,4559.879,4557.041,4559.465,170.0
2026-03-31 04:16:00,4559.244,4559.559,4557.968,4558.916,137.0
2026-03-31 04:17:00,4558.917,4561.012,4558.829,4559.951,108.0
2026-03-31 04:18:00,4560.149,4564.928,4559.695,4564.482,348.0
2026-03-31 04:19:00,4564.539,4565.462,4562.661,4563.382,190.0
2026-03-31 04:20:00,4563.388,4569.565,4562.936,4567.023,420.0
2026-03-31 04:21:00,4566.986,4567.223,4563.591,4563.926,242.0
2026-03-31 04:22:00,4563.925,4565.135,4560.289,4560.636,276.0
2026-03-31 04:23:00,4560.693,4561.313,4559.887,4560.896,137.0
2026-03-31 04:24:00,4560.868,4560.868,4558.945,4559.612,141.0
2026-03-31 04:25:00,4559.569,4560.46,4558.704,4558.918,164.0
2026-03-31 04:26:00,4558.982,4562.09,4558.982,4561.552,173.0
2026-03-31 04:27:00,4561.62,4562.271,4560.852,4561.817,136.0
2026-03-31 04:28:00,4561.909,4562.345,4560.869,4562.345,117.0
2026-03-31 04:29:00,4562.268,4562.268,4560.918,4561.467,91.0
2026-03-31 04:30:00,4561.348,4563.272,4560.861,4563.272,166.0
2026-03-31 04:31:00,4563.085,4563.882,4561.971,4563.748,138.0
2026-03-31 04:32:00,4563.755,4565.12,4561.208,4561.433,209.0
2026-03-31 04:33:00,4561.489,4564.178,4561.03,4563.362,138.0
2026-03-31 04:34:00,4563.379,4564.233,4563.379,4563.732,90.0
2026-03-31 04:35:00,4563.672,4563.672,4560.45,4560.788,118.0
2026-03-31 04:36:00,4560.774,4561.564,4560.128,4561.179,111.0
2026-03-31 04:37:00,4561.238,4562.143,4559.985,4562.024,147.0
2026-03-31 04:38:00,4561.944,4563.548,4561.157,4561.532,127.0
2026-03-31 04:39:00,4561.267,4562.9,4560.877,4561.826,127.0
2026-03-31 04:40:00,4562.1,4562.8,4560.589,4560.749,144.0
2026-03-31 04:41:00,4560.794,4561.262,4560.059,4560.644,99.0
2026-03-31 04:42:00,4560.531,4562.147,4560.531,4562.147,122.0
2026-03-31 04:43:00,4562.21,4562.654,4561.493,4562.078,110.0
2026-03-31 04:44:00,4561.957,4564.238,4561.894,4563.82,118.0
2026-03-31 04:45:00,4563.909,4564.98,4563.434,4564.754,143.0
2026-03-31 04:46:00,4564.761,4565.428,4563.178,4563.756,169.0
2026-03-31 04:47:00,4563.726,4564.249,4561.057,4562.211,221.0
